HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
Brighton,Crystal Palace,15.0,13.0,0.2222222222222222,0.2962962962962963,0.37037037037037035,0.3333333333333333,0.4074074074074074,0.37037037037037035,4.111111111111111,3.259259259259259,0.8696475937855248,0.7964601769911505,0.8577263444520081,0.9719590754073512,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.05,3.25,3.9
Bournemouth,Chelsea,16.0,4.0,0.25925925925925924,0.48148148148148145,0.18518518518518517,0.18518518518518517,0.5555555555555556,0.3333333333333333,3.259259259259259,5.62962962962963,0.7673361121636982,1.6541865214431588,1.1640571817562968,1.1254262978400909,2.0,2.0,2.0,2.0,2.0,0.0,1.0,4.75,3.8,1.72
Newcastle,Burnley,14.0,10.0,0.2962962962962963,0.4074074074074074,0.25925925925925924,0.14814814814814814,0.4444444444444444,0.4444444444444444,3.111111111111111,3.5185185185185186,0.6138688897309587,0.8577263444520081,0.7351940095302928,1.0742705570291777,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.62,3.1,2.9
West Ham,Southampton,18.0,12.0,0.2222222222222222,0.37037037037037035,0.2222222222222222,0.14814814814814814,0.5555555555555556,0.48148148148148145,4.2592592592592595,4.666666666666667,1.0231148162182646,1.1027910142954391,1.5316541865214433,0.920803334596438,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.65,3.6,2.5
Watford,Liverpool,19.0,1.0,0.18518518518518517,0.9629629629629629,0.3333333333333333,0.037037037037037035,0.48148148148148145,0.0,3.037037037037037,6.2592592592592595,0.6650246305418719,1.592920353982301,1.0415248468345815,0.30693444486547933,0.0,2.0,1.0,0.0,2.0,0.0,2.0,8.0,4.75,1.4
Everton,Man United,11.0,5.0,0.37037037037037035,0.4074074074074074,0.2222222222222222,0.2962962962962963,0.4074074074074074,0.2962962962962963,4.777777777777778,5.7407407407407405,0.920803334596438,0.8577263444520081,0.8577263444520081,0.8696475937855248,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.5,3.25,2.9
Tottenham,Wolves,6.0,8.0,0.4074074074074074,0.3333333333333333,0.25925925925925924,0.4444444444444444,0.3333333333333333,0.2222222222222222,4.555555555555555,4.074074074074074,1.2788935202728307,1.0415248468345815,0.7351940095302928,0.7673361121636982,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.45,3.2,3.0
Liverpool,Bournemouth,1.0,16.0,0.9629629629629629,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.0,0.5555555555555556,6.2592592592592595,3.259259259259259,1.805066854327938,0.6257901390644753,0.6257901390644753,1.1400422237860661,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.22,6.5,13.0
Arsenal,West Ham,9.0,18.0,0.2962962962962963,0.2222222222222222,0.48148148148148145,0.2222222222222222,0.2222222222222222,0.5555555555555556,3.962962962962963,4.2592592592592595,1.1875439831104855,0.6826801517067004,1.1378002528445006,1.0925404644616465,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.57,4.4,5.5
Crystal Palace,Watford,12.0,17.0,0.32142857142857145,0.21428571428571427,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.4642857142857143,3.25,3.107142857142857,0.5225653206650831,0.632183908045977,0.7471264367816092,1.2351543942992875,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.55,3.2,2.9
Sheffield United,Norwich,8.0,20.0,0.37037037037037035,0.17857142857142858,0.37037037037037035,0.21428571428571427,0.25925925925925924,0.6071428571428571,3.2962962962962963,3.9285714285714284,0.7600950118764845,0.3448275862068965,0.7471264367816092,1.1876484560570073,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.65,3.75,5.75
Southampton,Newcastle,13.0,14.0,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5,0.42857142857142855,4.571428571428571,3.142857142857143,0.7600950118764845,0.689655172413793,1.7241379310344827,1.3776722090261284,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.61,4.1,5.25
Wolves,Brighton,6.0,15.0,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.42857142857142855,4.071428571428571,4.25,0.997624703087886,0.8620689655172413,0.9770114942528735,1.1876484560570073,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.61,3.9,5.75
